movie_id,movie_title,director_name,actor_1_name,actor_2_name,actor_3_name,genres,plot_keywords,num_critic_for_reviews,duration,director_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
1,Life,Daniel Espinosa,Adam Arkin,Brent Sexton,Damian Lewis,Crime|Drama|Mystery,cop|murder|partner|police|protective male,12,45,,,29450,504,1,67,,,,130,8.3,,0
2,The Missing,Ron Howard,Jason Flemyng,James Nesbitt,Frances O'Connor,Crime|Drama|Mystery,france|journalist|limp|police detective|reporter,14,60,,,8739,3537,0,28,,,,773,8.1,,0
3,Anger Management,Peter Segal,Barry Corbin,Noureen DeWulf,Brian Austin Green,Comedy|Romance,anger management|argument|irony|sarcasm|therapist,26,22,,,26992,4115,1,54,,,,701,6.7,16,0
4,Unforgotten,Andy Wilson,Bernard Hill,Gemma Jones,Nicola Walker,Crime|Drama,,2,45,,,1824,1816,2,9,,,,171,7.9,,0
5,A Touch of Frost,R. D. Wingfield,David Jason,Bruce Alexander,John Lyons,Crime|Drama|Mystery,cult tv|death|detective inspector|four word title|internal affairs,14,105,,,4438,344,1,33,,,,7,7.8,1.33,361
6,Twisted,Philip Kaufman,Grey Damon,Brittany Curran,Aaron Hill,Drama|Mystery|Thriller,,4,60,,,7945,2758,2,22,,,,512,7.5,16,915
7,Hit the Floor,Don Stark,Jodi Lyn O'Keefe,Kimberly Elise,Logan Browning,Drama|Romance,affair|hip hop|sex scene,3,60,,,1641,3438,4,11,,,,637,7,,265
8,The Honeymooners,John Schultz,Jackie Gleason,Art Carney,Joyce Randolph,Comedy|Family,1950s|bus driver|money scheme|poverty|sewer,15,30,,,3446,812,4,31,,,,154,8.7,1.33,459
9,Rogue,Greg McLean,Cole Hauser,Sarah Carter,Derek Luke,Action|Crime|Drama|Thriller,cheating wife|extramarital affair|female lead|undercover|unfaithfulness,6,50,,,1781,3276,0,23,,,,748,6.8,,532
10,The Bachelor,Ken Fuchs,Chris Harrison,,,Game-Show|Reality-TV|Romance,bachelor|seeking love|single guy|tv host|women rivals for man,5,60,,,4398,98,0,33,,3000000,,,2.9,,141
